POLE_LAT,POLE_LONG,EXPECTED_CRIT_SCORE,TILT_ANGLE
37.2767965,-122.0170435,2,Low
37.2786442,-122.0170232,2,Low
37.2768026,-122.0170616,2,Low
37.2792909,-122.0207976,2,Low
37.2776032,-122.0146409,2,Low
37.2709035,-122.0207343,2,Low
37.277612,-122.0171002,2,Low
37.2777945,-122.020994,2,Low
37.2776016,-122.0145179,2,Low
37.2786434,-122.0169232,2,Low
37.2795579,-122.021372,2,Low
37.2777961,-122.0231083,2,Low
37.2782278,-122.0145162,2,Low
37.2795579,-122.0069774,2,Low
37.2795579,-121.9979053,2,Low
37.2795579,-121.9976531,2,Low
37.28163919,-122.0106806,2,Low
37.28163919,-122.0040596,2,Low
37.282985,-122.0164182,2,Low
37.282985,-122.0161713,2,Low
37.282985,-122.0105344,2,Low
37.282985,-122.0043066,2,Low
37.282985,-122.0020551,2,Low
37.282985,-121.9914167,2,Low
37.28388274,-122.0166528,2,Low
37.28388274,-122.0101713,2,Low
37.28388274,-122.0058344,2,Low
37.28388274,-121.9995528,2,Low
37.28388274,-121.9981692,2,Low
37.28388274,-121.9977852,2,Low
37.28886784,-122.0141242,2,Low
37.28886784,-122.0044847,2,Low
37.28886784,-122.0028695,2,Low
37.29305965,-122.0063498,2,Low
37.29544619,-122.0168239,2,Low
37.29544619,-122.012509,2,Low
37.28886784,-121.7987534,2,Low
37.29972048,-121.7794711,2,Low
37.2906222,-121.7367279,2,Low
37.2906222,-121.7333762,2,Low
37.29305965,-121.7530705,2,Low
37.29305965,-121.99978,2,Medium
37.29544619,-122.0168423,2,Medium
37.29544619,-122.0119701,2,Medium
37.28886784,-121.7937079,2,Medium
37.28886784,-121.7899798,2,Medium
37.28886784,-121.7886126,2,Medium
37.28886784,-121.7840611,2,Medium
37.29948853,-121.7601551,2,Medium
37.29948853,-121.7549715,2,Medium
37.29948853,-121.7526518,2,Medium
37.29972048,-121.7726356,2,Medium
37.2906222,-121.7432505,2,Medium
37.29544619,-122.0174039,3,High
37.28886784,-121.7978446,3,High
37.29972048,-121.7844093,3,High
37.29972048,-121.7745792,3,High
37.29305965,-121.7513468,3,High
