Population,Distance,Zone,Tilt Angle,Criticality Label
High,High,Forest,High,3
High,High,Forest,Medium,3
High,High,Forest,Low,2
High,High,Urban,High,3
High,High,Urban,Medium,1
High,High,Urban,Low,1
High,Medium,Forest,High,2
High,Medium,Forest,Medium,2
High,Medium,Forest,Low,2
High,Medium,Urban,High,3
High,Medium,Urban,Medium,1
High,Medium,Urban,Low,1
High,Low,Forest,High,3
High,Low,Forest,Medium,3
High,Low,Forest,Low,2
High,Low,Urban,High,3
High,Low,Urban,Medium,2
High,Low,Urban,Low,1
Medium,High,Forest,High,3
Medium,High,Forest,Medium,2
Medium,High,Forest,Low,2
Medium,High,Urban,High,3
Medium,High,Urban,Medium,1
Medium,High,Urban,Low,1
Medium,Medium,Forest,High,3
Medium,Medium,Forest,Medium,2
Medium,Medium,Forest,Low,2
Medium,Medium,Urban,High,2
Medium,Medium,Urban,Medium,2
Medium,Medium,Urban,Low,1
Medium,Low,Forest,High,3
Medium,Low,Forest,Medium,3
Medium,Low,Forest,Low,2
Medium,Low,Urban,High,3
Medium,Low,Urban,Medium,3
Medium,Low,Urban,Low,2
Low,High,Forest,High,3
Low,High,Forest,Medium,2
Low,High,Forest,Low,2
Low,High,Urban,High,2
Low,High,Urban,Medium,1
Low,High,Urban,Low,1
Low,Medium,Forest,High,3
Low,Medium,Forest,Medium,2
Low,Medium,Forest,Low,2
Low,Medium,Urban,High,2
Low,Medium,Urban,Medium,1
Low,Medium,Urban,Low,1
Low,Low,Forest,High,3
Low,Low,Forest,Medium,3
Low,Low,Forest,Low,2
Low,Low,Urban,High,3
Low,Low,Urban,Medium,2
Low,Low,Urban,Low,1
