,POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,SYNTH_SENSOR_DATA,FAKE_OR_SYNTH,POLE_CRIT_LABEL,POLE_CRIT_CALC,Population,Distance,Zone,Tilt Angle
0,37.3004791,-121.9543924,95008,0.397310299,1.436875148,0.783977536,0,0.333333333,1,,,Medium,High,Urban,Low
1,37.2816897,-122.0189597,95070,0.268768215,0.25344903,0.115830826,1,1,1,,,Low,Low,Forest,High
2,37.2816897,-122.0166085,95070,0.268768215,0.09290184,0.025188009,1,1,1,,,Low,Low,Forest,High
3,37.2795579,-121.9894266,95070,0.268768215,1.789135851,0.982859263,1,1,1,,,Low,High,Forest,High
4,37.298107,-121.9530383,95008,0.397310299,1.328130838,0.722581939,0,0.333333333,1,,,Medium,High,Urban,Low
5,37.2795579,-121.9550796,95032,0.22024123,1.219499168,0.661249937,1,1,1,,,Low,Medium,Forest,High
6,37.2886359,-121.9624128,95032,0.22024123,1.299981771,0.706689349,1,1,1,,,Low,High,Forest,High
7,37.2857072,-121.9712965,95032,0.22024123,1.213793254,0.658028454,1,0.666666667,1,,,Low,Medium,Forest,Medium
8,37.2886359,-121.9571407,95032,0.22024123,1.421253673,0.775157859,1,0.666666667,1,,,Low,High,Forest,Medium
9,37.2918084,-122.0148289,95070,0.268768215,0.395462671,0.196009847,1,1,1,,,Low,Low,Forest,High
10,37.2857072,-121.9768024,95032,0.22024123,1.370768067,0.746654354,1,0.333333333,1,,,Low,High,Forest,Low
11,37.2795579,-121.9591318,95032,0.22024123,1.063057603,0.572925102,1,0.333333333,1,,,Low,Medium,Forest,Low
12,37.2886359,-121.9685083,95032,0.22024123,1.280324698,0.695591226,1,0.333333333,1,,,Low,High,Forest,Low
13,37.3049715,-121.9943138,95051,0.476904035,0.829345902,0.440974572,0,0.666666667,1,,,High,Medium,Urban,Medium
14,37.2857072,-122.0094674,95070,0.268768215,0.43809853,0.220081488,1,1,1,,,Low,Low,Forest,High
15,37.2899865,-121.9981833,95070,0.268768215,1.22765814,0.665856385,1,1,1,,,Low,Medium,Forest,High
16,37.2857072,-121.9359549,95008,0.397310299,0.258994159,0.118961533,0,1,1,,,Medium,Low,Urban,High
17,37.2973888,-121.9474158,95008,0.397310299,0.941775739,0.504450968,0,0.666666667,1,,,Medium,Medium,Urban,Medium
18,37.3028574,-121.9931802,95051,0.476904035,0.920367981,0.492364432,0,1,1,,,High,Medium,Urban,High
19,37.3028574,-121.9939976,95051,0.476904035,0.909259789,0.486092894,0,0.666666667,1,,,High,Medium,Urban,Medium
20,37.2857072,-122.003931,95070,0.268768215,0.804371799,0.426874524,1,1,1,,,Low,Medium,Forest,High
21,37.2989946,-121.9651317,95032,0.22024123,1.652474294,0.905701959,1,1,1,,,Low,High,Forest,High
22,37.2991858,-122.0064041,95070,0.268768215,0.905365944,0.48389448,1,1,1,,,Low,Medium,Forest,High
23,37.3005419,-121.9989353,95051,0.476904035,0.999430303,0.537001972,0,0.333333333,1,,,High,Medium,Urban,Low
24,37.3085199,-121.9964838,95051,0.476904035,0.689494313,0.362016217,0,0.666666667,1,,,High,Medium,Urban,Medium
25,37.3049715,-121.9947377,95051,0.476904035,0.82526685,0.438671593,0,0.666666667,1,,,High,Medium,Urban,Medium
26,37.3005419,-122.0023205,95051,0.476904035,1.068757575,0.576143231,0,0.333333333,1,,,High,Medium,Urban,Low
27,37.2857072,-121.9827065,95032,0.22024123,1.623482195,0.889333403,1,1,1,,,Low,High,Forest,High
28,37.2886359,-121.9693154,95032,0.22024123,1.288066147,0.699961946,1,0.666666667,1,,,Low,High,Forest,Medium
29,37.298107,-121.9596214,95032,0.22024123,1.683009229,0.922941578,1,1,1,,,Low,High,Forest,High
30,37.3004791,-121.9664577,95051,0.476904035,1.637142326,0.897045732,0,1,1,,,High,High,Urban,High
31,37.3085199,-121.9924486,95051,0.476904035,0.736183891,0.388376534,0,0.666666667,1,,,High,Medium,Urban,Medium
32,37.3049715,-122.0112639,95070,0.268768215,0.919686077,0.491979438,1,1,1,,,Low,Medium,Forest,High
33,37.2795579,-121.9594172,95032,0.22024123,1.053969688,0.567794186,1,0.666666667,1,,,Low,Medium,Forest,Medium
34,37.2899865,-122.0037534,95070,0.268768215,0.862836533,0.459882938,1,0.666666667,1,,,Low,Medium,Forest,Medium
35,37.2973888,-121.9965805,95051,0.476904035,1.097065453,0.592125484,0,0.333333333,1,,,High,Medium,Urban,Low
36,37.3028574,-121.9950849,95051,0.476904035,0.899781393,0.480741517,0,0.666666667,1,,,High,Medium,Urban,Medium
37,37.2989946,-121.956237,95008,0.397310299,1.551455868,0.848668293,0,0.333333333,1,,,Medium,High,Urban,Low
38,37.2857072,-121.9681649,95032,0.22024123,1.17118865,0.633974459,1,0.333333333,1,,,Low,Medium,Forest,Low
39,37.2945064,-122.016686,95070,0.268768215,0.502041982,0.256183114,1,0.666666667,1,,,Low,Low,Forest,Medium
40,37.2989946,-121.9599711,95032,0.22024123,1.707867499,0.936976228,1,1,1,,,Low,High,Forest,High
41,37.3028574,-121.9943559,95051,0.476904035,0.905458916,0.483946971,0,0.666666667,1,,,High,Medium,Urban,Medium
42,37.2991858,-121.9974636,95051,0.476904035,1.034682509,0.5569049,0,0.666666667,1,,,High,Medium,Urban,Medium
43,37.2831277,-121.9634813,95032,0.22024123,1.087962218,0.586985918,1,0.666666667,1,,,Low,Medium,Forest,Medium
44,37.2918084,-121.9913894,95051,0.476904035,1.342669635,0.730790352,0,0.666666667,1,,,High,High,Urban,Medium
45,37.3028574,-121.9984143,95051,0.476904035,0.909565902,0.486265721,0,1,1,,,High,Medium,Urban,High
46,37.2899865,-122.0065505,95070,0.268768215,0.687931338,0.361133782,1,1,1,,,Low,Medium,Forest,High
47,37.3004791,-121.9695423,95051,0.476904035,1.540552086,0.842512162,0,0.333333333,1,,,High,High,Urban,Low
48,37.2989946,-121.9774102,95051,0.476904035,1.469117423,0.802181098,0,0.333333333,1,,,High,High,Urban,Low
49,37.2973888,-121.9915585,95051,0.476904035,1.142504559,0.617779801,0,1,1,,,High,Medium,Urban,High
50,37.2945064,-122.0177152,95070,0.268768215,0.520249064,0.266462591,1,0.333333333,1,,,Low,Low,Forest,Low
51,37.3085199,-122.0021441,95051,0.476904035,0.802527979,0.425833527,0,0.666666667,1,,,High,Medium,Urban,Medium
52,37.2989946,-121.9712997,95051,0.476904035,1.547741152,0.846571014,0,0.333333333,1,,,High,High,Urban,Low
53,37.3004791,-121.9709377,95051,0.476904035,1.504758471,0.822303562,0,0.666666667,1,,,High,High,Urban,Medium
54,37.2991858,-122.0009642,95051,0.476904035,1.08239616,0.583843395,0,0.666666667,1,,,High,Medium,Urban,Medium
55,37.3049715,-122.0173599,95070,0.268768215,0.887696275,0.473918419,1,1,1,,,Low,Medium,Forest,High
56,37.2989946,-121.9795277,95051,0.476904035,1.469453582,0.802370889,0,1,1,,,High,High,Urban,High
57,37.2918084,-121.9906506,95051,0.476904035,1.356184328,0.738420568,0,1,1,,,High,High,Urban,High
58,37.3004791,-121.9773635,95051,0.476904035,1.415024789,0.771641113,0,0.666666667,1,,,High,High,Urban,Medium
59,37.2973888,-121.9972767,95051,0.476904035,1.099296273,0.593384975,0,0.666666667,1,,,High,Medium,Urban,Medium
60,37.2991858,-121.9989416,95051,0.476904035,1.048305457,0.564596236,0,1,1,,,High,Medium,Urban,High
61,37.2918084,-121.9957094,95051,0.476904035,1.301471092,0.7075302,0,0.333333333,1,,,High,High,Urban,Low
62,37.2945064,-122.0192713,95070,0.268768215,0.563922499,0.291120034,1,0.333333333,1,,,Low,Low,Forest,Low
63,37.3004791,-121.9774605,95051,0.476904035,1.41469466,0.771454727,0,1,1,,,High,High,Urban,High
64,37.2899865,-122.0128469,95070,0.268768215,0.368850569,0.180985006,1,0.333333333,1,,,Low,Low,Forest,Low
65,37.3049715,-121.9913735,95051,0.476904035,0.884227038,0.471959734,0,1,1,,,High,Medium,Urban,High
66,37.2816897,-122.0159186,95070,0.268768215,0.048288662,0,1,1,1,,,Low,Low,Forest,High
67,37.2945064,-121.9934579,95051,0.476904035,1.217008511,0.659843746,0,0.666666667,1,,,High,Medium,Urban,Medium
68,37.3049715,-122.000688,95051,0.476904035,0.876021768,0.467327147,0,0.666666667,1,,,High,Medium,Urban,Medium
69,37.2886359,-121.9698378,95032,0.22024123,1.294333747,0.703500549,1,0.333333333,1,,,Low,High,Forest,Low
70,37.2936298,-121.9822742,95051,0.476904035,1.564705759,0.856149006,0,1,1,,,High,High,Urban,High
71,37.2991858,-122.0001791,95051,0.476904035,1.0671212,0.575219355,0,1,1,,,High,Medium,Urban,High
72,37.2795579,-121.9598291,95032,0.22024123,1.041372384,0.560681915,1,0.666666667,1,,,Low,Medium,Forest,Medium
