POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,SYNTH_SENSOR_DATA,FAKE_OR_SYNTH,POLE_CRIT_LABEL,POLE_CRIT_CALC,,PERCENT_ERROR,
37.2795579,-121.988956,95051,0.476904035,1.819495643,1,0,0.666666667,1,1,,1.712305874,71.23%,
37.2795579,-121.9888017,95032,0.22024123,1.814536433,0.997200095,1,0.333333333,1,2,,1.725993479,-13.70%,
37.2795579,-121.9894266,95070,0.268768215,1.789135851,0.982859263,1,1,1,3,,3.1170533,3.90%,
37.3085199,-121.9583983,95051,0.476904035,1.779432709,0.977380998,0,0.333333333,1,1,,1.016439273,1.64%,
37.3004791,-121.9595143,95032,0.22024123,1.768529064,0.971224945,1,1,1,3,,3.127607879,4.25%,
37.3006486,-121.9604334,95032,0.22024123,1.758723727,0.965688981,1,0.666666667,1,2,,2.429370918,21.47%,
37.3005419,-121.9617148,95032,0.22024123,1.736514034,0.953149683,1,0.666666667,1,2,,2.431110812,21.56%,
37.3006486,-121.958712,95008,0.397310299,1.730476597,0.949741026,0,1,1,3,,2.432948442,-18.90%,
37.2831277,-121.9860147,95032,0.22024123,1.730388895,0.94969151,1,0.333333333,1,2,,1.732585545,-13.37%,
37.3005419,-121.9631152,95032,0.22024123,1.721381062,0.944605807,1,0.333333333,1,2,,1.733291213,-13.34%,
37.3004791,-121.9629688,95032,0.22024123,1.720436817,0.944072699,1,1,1,3,,3.131375396,4.38%,
37.3006486,-121.964071,95032,0.22024123,1.718001964,0.942698013,1,1,1,3,,3.131566141,4.39%,
37.2989946,-121.9599711,95032,0.22024123,1.707867499,0.936976228,1,1,1,3,,3.132360069,4.41%,
37.2816897,-121.9906291,95070,0.268768215,1.70537156,0.935567054,1,1,1,3,,3.123615343,4.12%,
37.2831277,-121.988599,95051,0.476904035,1.70166362,0.933473601,0,0.666666667,1,1,,1.721536762,72.15%,
37.3075707,-121.9605941,95051,0.476904035,1.687730311,0.925607039,0,1,1,3,,2.421633393,-19.28%,
37.3085199,-121.9601713,95051,0.476904035,1.685932955,0.924592276,0,0.333333333,1,1,,1.023763985,2.38%,
37.298107,-121.9596214,95032,0.22024123,1.683009229,0.922941578,1,1,1,3,,3.13430745,4.48%,
37.298107,-121.9600532,95032,0.22024123,1.675038241,0.918441264,1,0.666666667,1,2,,2.435926788,21.80%,
37.2816897,-121.9855373,95032,0.22024123,1.672048423,0.916753253,1,0.666666667,1,2,,2.436161008,21.81%,
37.3049715,-121.9572833,95008,0.397310299,1.671829203,0.916629484,0,0.333333333,1,1,,1.039532632,3.95%,
37.2882109,-121.9837497,95051,0.476904035,1.670805316,0.916051411,0,1,1,3,,2.422959287,-19.24%,
37.2973888,-121.9591477,95032,0.22024123,1.66721936,0.914026828,1,0.333333333,1,2,,1.737534207,-13.12%,
37.2991858,-121.9639199,95032,0.22024123,1.665730848,0.913186433,1,0.333333333,1,2,,1.737650817,-13.12%,
37.2899865,-121.982439,95051,0.476904035,1.665381606,0.912989256,0,0.333333333,1,1,,1.025373966,2.54%,
37.2989946,-121.9651317,95032,0.22024123,1.652474294,0.905701959,1,1,1,3,,3.136699538,4.56%,
37.2973888,-121.9599255,95032,0.22024123,1.652019967,0.905445452,1,1,1,3,,3.13673513,4.56%,
37.3005419,-121.9660024,95051,0.476904035,1.651284873,0.905030427,0,0.666666667,1,1,,1.725483402,72.55%,
37.3006486,-121.9659739,95051,0.476904035,1.648977375,0.903727644,0,0.333333333,1,1,,1.026659063,2.67%,
37.3049715,-121.9628381,95051,0.476904035,1.648893763,0.903680438,0,0.666666667,1,1,,1.72567072,72.57%,
37.2973888,-121.9602637,95032,0.22024123,1.645914746,0.901998524,1,0.333333333,1,2,,1.739203198,-13.04%,
37.2991858,-121.9575249,95008,0.397310299,1.640376763,0.898871853,0,1,1,3,,2.440006808,-18.67%,
37.2886359,-121.9813154,95032,0.22024123,1.639665539,0.898470305,1,0.333333333,1,2,,1.739692757,-13.02%,
37.3004791,-121.9664577,95051,0.476904035,1.637142326,0.897045732,0,1,1,3,,2.425596425,-19.15%,
37.2831277,-121.9916682,95070,0.268768215,1.635181914,0.89593891,1,1,1,3,,3.129113956,4.30%,
37.2945064,-121.9791432,95051,0.476904035,1.632471115,0.894408429,0,0.666666667,1,1,,1.72695726,72.70%,
37.298107,-121.968819,95032,0.22024123,1.627054594,0.891350333,1,0.333333333,1,2,,1.74068069,-12.97%,
37.3085199,-121.9559273,95008,0.397310299,1.626271762,0.890908356,0,1,1,3,,2.441111785,-18.63%,
37.3005419,-121.9571764,95008,0.397310299,1.625564506,0.890509049,0,0.666666667,1,2,,1.742162086,-12.89%,
37.2857072,-121.9827065,95032,0.22024123,1.623482195,0.889333403,1,1,1,3,,3.138970761,4.63%,
37.3049715,-121.9565322,95008,0.397310299,1.622173228,0.888594378,0,0.666666667,1,2,,1.742427757,-12.88%,
37.298107,-121.964688,95032,0.22024123,1.621900991,0.888440677,1,0.333333333,1,2,,1.741084421,-12.95%,
37.2960894,-121.9573979,95008,0.397310299,1.617018089,0.885683855,0,1,1,3,,2.441836712,-18.61%,
37.3005419,-121.9669949,95051,0.476904035,1.616710758,0.88551034,0,0.333333333,1,1,,1.02918681,2.92%,
37.2936298,-121.9764668,95032,0.22024123,1.614032957,0.883998489,1,1,1,3,,3.139711009,4.66%,
37.298107,-121.9698493,95051,0.476904035,1.612614477,0.883197634,0,0.333333333,1,1,,1.02950771,2.95%,
37.2831277,-121.9920513,95070,0.268768215,1.608739778,0.88101003,1,0.666666667,1,2,,2.432180312,21.61%,
37.2973888,-121.9632039,95032,0.22024123,1.606242024,0.879599831,1,1,1,3,,3.140321346,4.68%,
37.2960894,-121.9726218,95032,0.22024123,1.604163843,0.878426518,1,0.666666667,1,2,,2.441479044,22.07%,
37.2945064,-121.9750673,95032,0.22024123,1.604150889,0.878419204,1,1,1,3,,3.140485164,4.68%,
37.2899865,-121.9794375,95032,0.22024123,1.601495445,0.876919976,1,1,1,3,,3.14069319,4.69%,
37.2918084,-121.9779033,95032,0.22024123,1.601433204,0.876884835,1,0.333333333,1,2,,1.742687854,-12.87%,
37.2857072,-121.9892108,95051,0.476904035,1.598849574,0.875426152,0,0.333333333,1,1,,1.030586044,3.06%,
37.2991858,-121.9690143,95051,0.476904035,1.598548384,0.875256104,0,0.333333333,1,1,,1.030609639,3.06%,
37.2960894,-121.971993,95032,0.22024123,1.592937333,0.872088179,1,0.666666667,1,2,,2.442358522,22.12%,
37.2973888,-121.966552,95032,0.22024123,1.591732763,0.871408095,1,0.666666667,1,2,,2.442452888,22.12%,
37.2918084,-121.9829285,95051,0.476904035,1.591356932,0.871195905,0,0.333333333,1,1,,1.031173013,3.12%,
37.2960894,-121.9714027,95032,0.22024123,1.583411046,0.866709764,1,0.333333333,1,2,,1.744099699,-12.80%,
37.2886359,-121.9862605,95051,0.476904035,1.574522039,0.861691148,0,1,1,3,,2.430502059,-18.98%,
37.2960894,-121.9789385,95051,0.476904035,1.574183359,0.861499934,0,0.666666667,1,1,,1.731523487,73.15%,
37.2936298,-121.9750516,95032,0.22024123,1.57406673,0.861434086,1,0.333333333,1,2,,1.744831727,-12.76%,
37.2973888,-121.9728856,95051,0.476904035,1.57339663,0.861055757,0,1,1,3,,2.430590223,-18.98%,
37.2945064,-121.9815254,95051,0.476904035,1.57236255,0.860471929,0,1,1,3,,2.430671232,-18.98%,
37.2960894,-121.9623835,95032,0.22024123,1.568014593,0.85801713,1,0.333333333,1,2,,1.745305848,-12.74%,
37.2936298,-121.9822742,95051,0.476904035,1.564705759,0.856149006,0,1,1,3,,2.431271061,-18.96%,
37.2857072,-121.9910889,95051,0.476904035,1.564617222,0.85609902,0,1,1,3,,2.431277996,-18.96%,
37.2973888,-121.9738842,95051,0.476904035,1.558065575,0.852400046,0,0.333333333,1,1,,1.033781037,3.38%,
37.2831277,-121.9928545,95070,0.268768215,1.553304934,0.849712251,1,0.666666667,1,2,,2.436523044,21.83%,
37.2989946,-121.956237,95008,0.397310299,1.551455868,0.848668293,0,0.333333333,1,1,,1.048962605,4.90%,
37.2795579,-121.9842032,95032,0.22024123,1.551429536,0.848653427,1,1,1,3,,3.144615322,4.82%,
37.2936298,-121.9565334,95008,0.397310299,1.551238539,0.848545592,0,1,1,3,,2.446989841,-18.43%,
37.2918084,-121.9840365,95051,0.476904035,1.548537029,0.847020356,0,0.333333333,1,1,,1.034527498,3.45%,
37.2989946,-121.9712997,95051,0.476904035,1.547741152,0.846571014,0,0.333333333,1,1,,1.034589846,3.46%,
37.3006486,-121.9691414,95051,0.476904035,1.546144275,0.845669438,0,0.333333333,1,1,,1.034714945,3.47%,
37.2936298,-121.9587466,95032,0.22024123,1.54569032,0.845413141,1,0.666666667,1,2,,2.446059824,22.30%,
37.2960894,-121.9673096,95032,0.22024123,1.545607632,0.845366457,1,1,1,3,,3.145071406,4.84%,
37.3004791,-121.9695423,95051,0.476904035,1.540552086,0.842512162,0,0.333333333,1,1,,1.035153033,3.52%,
37.2945064,-121.9719968,95032,0.22024123,1.536926256,0.840465067,1,0.333333333,1,2,,1.747741289,-12.61%,
37.2973888,-121.9797593,95051,0.476904035,1.529028565,0.836006135,0,0.333333333,1,1,,1.036055779,3.61%,
37.2973888,-121.9774598,95051,0.476904035,1.527663917,0.835235673,0,0.666666667,1,1,,1.735167791,73.52%,
37.3028574,-121.9674622,95051,0.476904035,1.52708083,0.83490647,0,0.666666667,1,1,,1.73521347,73.52%,
37.2918084,-121.9571268,95032,0.22024123,1.526332954,0.834484229,1,0.666666667,1,2,,2.447576268,22.38%,
37.3005419,-121.9700021,95051,0.476904035,1.526052197,0.834325717,0,1,1,3,,2.434299157,-18.86%,
37.2882109,-121.9788748,95032,0.22024123,1.525925162,0.834253995,1,0.333333333,1,2,,1.748603108,-12.57%,
37.2886359,-121.9880796,95051,0.476904035,1.523959348,0.833144122,0,1,1,3,,2.434463109,-18.85%,
37.298107,-121.974871,95051,0.476904035,1.51985283,0.830825637,0,0.333333333,1,1,,1.0367746,3.68%,
37.2945064,-121.9617397,95032,0.22024123,1.519686232,0.830731578,1,1,1,3,,3.147102073,4.90%,
37.3075707,-121.9544467,95008,0.397310299,1.518421741,0.830017663,0,1,1,3,,2.449560689,-18.35%,
37.2816897,-121.9825733,95032,0.22024123,1.514651418,0.827888988,1,0.333333333,1,2,,1.749486286,-12.53%,
